,ID,Tag,Mesure,valeur,TimeStamp
0,multisensor1,ItalianCity,CO(GT),"2,6",2004-03-10 18:00:00
1,multisensor1,ItalianCity,PT08.S1(CO),1360,2004-03-10 18:00:00
2,multisensor1,ItalianCity,NMHC(GT),150,2004-03-10 18:00:00
3,multisensor1,ItalianCity,C6H6(GT),"11,9",2004-03-10 18:00:00
4,multisensor1,ItalianCity,PT08.S2(NMHC),1046,2004-03-10 18:00:00
5,multisensor1,ItalianCity,NOX(GT),166,2004-03-10 18:00:00
6,multisensor1,ItalianCity,PT08.S3(NOX),1056,2004-03-10 18:00:00
7,multisensor1,ItalianCity,NO2(GT),113,2004-03-10 18:00:00
8,multisensor1,ItalianCity,PT08.S4(NO2),1692,2004-03-10 18:00:00
9,multisensor1,ItalianCity,PT08.S5(O3),1268,2004-03-10 18:00:00
10,multisensor1,ItalianCity,T,"13,6",2004-03-10 18:00:00
11,multisensor1,ItalianCity,RH,"48,9",2004-03-10 18:00:00
12,multisensor1,ItalianCity,AH,"0,7578",2004-03-10 18:00:00
13,4135001,Powerplant,DC_POWER,0.0,2020-05-15 00:00:00
14,4135001,Powerplant,AC_POWER,0.0,2020-05-15 00:00:00
15,4135001,Powerplant,DAILY_YIELD,0.0,2020-05-15 00:00:00
16,4135001,Powerplant,TOTAL_YIELD,6259559.0,2020-05-15 00:00:00
17,4135001,Powerplant,AMBIENT_TEMPERATURE,25.184316133333333,2020-05-15 00:00:00
18,4135001,Powerplant,MODULE_TEMPERATURE,22.8575074,2020-05-15 00:00:00
19,4135001,Powerplant,IRRADIATION,0.0,2020-05-15 00:00:00
20,15,2.0,X,-13.0,2020-07-08 14:03:00.000000000
21,15,2.0,Y,-61.0,2020-07-08 14:03:00.000000000
22,15,2.0,Z,5.0,2020-07-08 14:03:00.000000000
23,15,2.0,EDA,6.769995,2020-07-08 14:03:00.000000000
24,15,2.0,HR,99.43,2020-07-08 14:03:00.000000000
25,15,2.0,TEMP,31.17,2020-07-08 14:03:00.000000000
26,M003,Aruba_Motion,VALUE,ON,2010-11-04 00:03:50.209589
27,P001,Kyoto_Electricity,VALUE,2865,2010-05-02 00:00:25.807170
28,P001,Kyoto_Electricity,VALUE,2865,2010-05-02 00:00:25.807170
29,4135001,Powerplant,DC_POWER,0.0,2020-05-15 00:00:00
30,4135001,Powerplant,AC_POWER,0.0,2020-05-15 00:00:00
31,4135001,Powerplant,DAILY_YIELD,0.0,2020-05-15 00:00:00
32,4135001,Powerplant,TOTAL_YIELD,6259559.0,2020-05-15 00:00:00
33,4135001,Powerplant,AMBIENT_TEMPERATURE,25.184316133333333,2020-05-15 00:00:00
34,4135001,Powerplant,MODULE_TEMPERATURE,22.8575074,2020-05-15 00:00:00
35,4135001,Powerplant,IRRADIATION,0.0,2020-05-15 00:00:00
36,M003,Aruba_Motion,VALUE,ON,2010-11-04 00:03:50.209589
37,4135001,Powerplant,DC_POWER,0.0,2020-05-15 00:00:00
38,4135001,Powerplant,AC_POWER,0.0,2020-05-15 00:00:00
39,4135001,Powerplant,DAILY_YIELD,0.0,2020-05-15 00:00:00
40,4135001,Powerplant,TOTAL_YIELD,6259559.0,2020-05-15 00:00:00
41,4135001,Powerplant,AMBIENT_TEMPERATURE,25.08458866666667,2020-05-15 00:00:00
42,4135001,Powerplant,MODULE_TEMPERATURE,22.761667866666663,2020-05-15 00:00:00
43,4135001,Powerplant,IRRADIATION,0.0,2020-05-15 00:00:00
44,M017,Milan_Motion,VALUE,ON,2009-10-16 00:01:04.000059
45,15,2.0,X,-13.0,2020-07-08 14:03:00.000000000
46,15,2.0,Y,-61.0,2020-07-08 14:03:00.000000000
47,15,2.0,Z,5.0,2020-07-08 14:03:00.000000000
48,15,2.0,EDA,6.769995,2020-07-08 14:03:00.000000000
49,15,2.0,HR,99.43,2020-07-08 14:03:00.000000000
50,15,2.0,TEMP,31.17,2020-07-08 14:03:00.000000000
51,b8:27:eb:bf:9d:51,Multisensor,CO,0.0049559386483912,2020-07-12 00:01:34.385974528
