,date,ID,Tag,value
0,2010-11-04 00:03:50.209589,M003,Aruba_Motion,ON
1,2010-11-04 00:03:57.399391,M003,Aruba_Motion,OFF
2,2010-11-04 00:15:08.984841,T002,Aruba_Temp,21.5
3,2010-11-04 00:30:19.185547,T003,Aruba_Temp,21
4,2010-11-04 00:30:19.385336,T004,Aruba_Temp,21
5,2010-11-04 00:35:22.245870,T005,Aruba_Temp,20.5
6,2010-11-04 00:40:25.428962,T005,Aruba_Temp,21
7,2010-11-04 00:45:28.658171,T005,Aruba_Temp,20.5
8,2010-11-04 01:05:42.269469,T001,Aruba_Temp,20
9,2010-11-04 01:15:48.936777,T002,Aruba_Temp,21
10,2010-11-04 01:30:59.100184,T003,Aruba_Temp,20.5
11,2010-11-04 01:46:09.301846,T005,Aruba_Temp,20
12,2010-11-04 01:56:16.059687,T004,Aruba_Temp,20.5
13,2010-11-04 02:21:32.138203,T001,Aruba_Temp,19.5
14,2010-11-04 02:21:32.228625,T002,Aruba_Temp,20.5
15,2010-11-04 02:32:33.351906,M003,Aruba_Motion,ON
16,2010-11-04 02:32:38.895958,M003,Aruba_Motion,OFF
17,2010-11-04 02:41:45.231875,T003,Aruba_Temp,20
18,2010-11-04 02:56:55.529628,T005,Aruba_Temp,19.5
19,2010-11-04 03:22:11.942589,T004,Aruba_Temp,20
20,2010-11-04 03:42:21.823650,M003,Aruba_Motion,ON
21,2010-11-04 03:42:25.128495,T002,Aruba_Temp,20
22,2010-11-04 03:42:25.939730,M003,Aruba_Motion,OFF
23,2010-11-04 03:49:52.412755,M003,Aruba_Motion,ON
24,2010-11-04 03:49:57.473649,M003,Aruba_Motion,OFF
25,2010-11-04 03:57:34.772738,T001,Aruba_Temp,19
26,2010-11-04 03:57:34.856793,T003,Aruba_Temp,19.5
27,2010-11-04 04:14:32.835757,M003,Aruba_Motion,ON
28,2010-11-04 04:14:33.203704,M002,Aruba_Motion,ON
29,2010-11-04 04:14:37.155090,M002,Aruba_Motion,OFF
30,2010-11-04 04:14:39.470621,M003,Aruba_Motion,OFF
31,2010-11-04 04:32:57.624613,T005,Aruba_Temp,19
32,2010-11-04 04:34:17.621670,M003,Aruba_Motion,ON
33,2010-11-04 04:34:19.224926,M002,Aruba_Motion,ON
34,2010-11-04 04:34:20.849595,M002,Aruba_Motion,OFF
35,2010-11-04 04:34:21.407224,M003,Aruba_Motion,OFF
36,2010-11-04 04:43:04.147940,T004,Aruba_Temp,19.5
37,2010-11-04 05:13:23.803730,T002,Aruba_Temp,19.5
38,2010-11-04 05:18:27.278517,T001,Aruba_Temp,18.5
39,2010-11-04 05:33:37.200386,T003,Aruba_Temp,19
40,2010-11-04 05:40:27.708148,M003,Aruba_Motion,ON
41,2010-11-04 05:40:29.816524,M002,Aruba_Motion,ON
42,2010-11-04 05:40:32.342225,M007,Aruba_Motion,ON
43,2010-11-04 05:40:33.109478,M002,Aruba_Motion,OFF
44,2010-11-04 05:40:34.522278,M007,Aruba_Motion,OFF
45,2010-11-04 05:40:40.482626,M003,Aruba_Motion,OFF
46,2010-11-04 05:40:40.844463,M003,Aruba_Motion,ON
47,2010-11-04 05:40:42.452746,M007,Aruba_Motion,ON
48,2010-11-04 05:40:43.642664,M003,Aruba_Motion,OFF
49,2010-11-04 05:40:44.223548,M003,Aruba_Motion,ON
50,2010-11-04 05:40:45.939846,M005,Aruba_Motion,ON
51,2010-11-04 05:40:46.310862,M003,Aruba_Motion,OFF
52,2010-11-04 05:40:51.303739,M004,Aruba_Motion,ON
53,2010-11-04 05:40:52.342105,M005,Aruba_Motion,OFF
54,2010-11-04 05:40:57.176409,M007,Aruba_Motion,OFF
55,2010-11-04 05:40:57.941486,M004,Aruba_Motion,OFF
56,2010-11-04 05:43:24.021475,M004,Aruba_Motion,ON
57,2010-11-04 05:43:26.273181,M004,Aruba_Motion,OFF
58,2010-11-04 05:43:26.345503,M007,Aruba_Motion,ON
59,2010-11-04 05:43:26.793102,M004,Aruba_Motion,ON
60,2010-11-04 05:43:27.195347,M007,Aruba_Motion,OFF
61,2010-11-04 05:43:27.787437,M007,Aruba_Motion,ON
62,2010-11-04 05:43:29.711796,M005,Aruba_Motion,ON
63,2010-11-04 05:43:30.279021,M004,Aruba_Motion,OFF
64,2010-11-04 05:43:34.261135,M005,Aruba_Motion,OFF
65,2010-11-04 05:43:35.941892,M007,Aruba_Motion,OFF
66,2010-11-04 05:43:40.821615,M007,Aruba_Motion,ON
67,2010-11-04 05:43:45.619681,M007,Aruba_Motion,OFF
68,2010-11-04 05:43:45.732400,M003,Aruba_Motion,ON
69,2010-11-04 05:43:52.044085,M003,Aruba_Motion,OFF
70,2010-11-04 05:43:53.185335,M002,Aruba_Motion,ON
71,2010-11-04 05:43:53.253809,M003,Aruba_Motion,ON
72,2010-11-04 05:43:59.493281,M002,Aruba_Motion,OFF
73,2010-11-04 05:44:04.048766,M003,Aruba_Motion,OFF
74,2010-11-04 05:44:06.142040,M003,Aruba_Motion,ON
75,2010-11-04 05:44:11.229146,M003,Aruba_Motion,OFF
76,2010-11-04 05:44:20.769389,M003,Aruba_Motion,ON
77,2010-11-04 05:44:23.050748,M003,Aruba_Motion,OFF
78,2010-11-04 05:53:50.570520,T005,Aruba_Temp,18.5
79,2010-11-04 06:12:43.168951,M003,Aruba_Motion,ON
80,2010-11-04 06:12:49.096070,M003,Aruba_Motion,OFF
81,2010-11-04 06:29:13.902925,T004,Aruba_Temp,19
82,2010-11-04 06:37:45.523275,M003,Aruba_Motion,ON
83,2010-11-04 06:37:49.771576,M003,Aruba_Motion,OFF
84,2010-11-04 06:37:50.734833,M003,Aruba_Motion,ON
85,2010-11-04 06:37:52.790219,M003,Aruba_Motion,OFF
86,2010-11-04 06:39:14.946330,M003,Aruba_Motion,ON
87,2010-11-04 06:39:17.280260,M003,Aruba_Motion,OFF
88,2010-11-04 06:44:23.956122,T002,Aruba_Temp,19
89,2010-11-04 07:04:37.271864,T005,Aruba_Temp,20.5
90,2010-11-04 07:04:37.355785,T002,Aruba_Temp,19.5
