,date,ID,Tag,value
0,2009-10-16 00:01:04.000059,M017,Milan_Motion,ON
1,2009-10-16 00:01:06.000046,M009,Milan_Motion,ON
2,2009-10-16 00:01:07.000064,M017,Milan_Motion,OFF
3,2009-10-16 00:01:08.000081,M019,Milan_Motion,ON
4,2009-10-16 00:01:09.000028,M009,Milan_Motion,OFF
5,2009-10-16 00:01:13.000051,M019,Milan_Motion,OFF
6,2009-10-16 00:08:50.000081,M020,Milan_Motion,ON
7,2009-10-16 00:08:55.000040,M020,Milan_Motion,OFF
8,2009-10-16 00:24:51.000026,M020,Milan_Motion,ON
9,2009-10-16 00:24:57.000084,M020,Milan_Motion,OFF
10,2009-10-16 00:56:38.000060,M020,Milan_Motion,ON
11,2009-10-16 00:56:41.000084,M020,Milan_Motion,OFF
12,2009-10-16 01:12:27.000046,T001,Milan_Temp,20.5
13,2009-10-16 01:27:28.000030,M020,Milan_Motion,ON
14,2009-10-16 01:27:31.000022,M020,Milan_Motion,OFF
15,2009-10-16 01:27:34.000002,T002,Milan_Temp,20.5
16,2009-10-16 01:27:43.000016,M020,Milan_Motion,ON
17,2009-10-16 01:27:50.000007,M020,Milan_Motion,OFF
18,2009-10-16 01:28:53.000048,M020,Milan_Motion,ON
19,2009-10-16 01:28:58.000083,M020,Milan_Motion,OFF
20,2009-10-16 01:29:01.000007,M019,Milan_Motion,ON
21,2009-10-16 01:29:04.000068,M009,Milan_Motion,ON
22,2009-10-16 01:29:05.000014,M019,Milan_Motion,OFF
23,2009-10-16 01:29:05.000061,M009,Milan_Motion,OFF
24,2009-10-16 01:29:08.000013,M016,Milan_Motion,ON
25,2009-10-16 01:29:09.000027,M015,Milan_Motion,ON
26,2009-10-16 01:29:11.000008,M015,Milan_Motion,OFF
27,2009-10-16 01:29:12.000020,M016,Milan_Motion,OFF
28,2009-10-16 01:30:43.000076,M022,Milan_Motion,ON
29,2009-10-16 01:30:44.000055,M012,Milan_Motion,ON
30,2009-10-16 01:30:45.000033,M022,Milan_Motion,OFF
31,2009-10-16 01:30:51.000058,M012,Milan_Motion,OFF
32,2009-10-16 01:32:16.000034,M003,Milan_Motion,ON
33,2009-10-16 01:32:20.000086,M003,Milan_Motion,OFF
34,2009-10-16 01:32:28.000085,M005,Milan_Motion,ON
35,2009-10-16 01:32:36.000015,T002,Milan_Temp,21
36,2009-10-16 01:32:38.000056,M005,Milan_Motion,OFF
37,2009-10-16 01:32:41.000010,M005,Milan_Motion,ON
38,2009-10-16 01:32:45.000090,M006,Milan_Motion,ON
39,2009-10-16 01:32:46.000035,M005,Milan_Motion,OFF
40,2009-10-16 01:32:49.000086,M006,Milan_Motion,OFF
41,2009-10-16 01:32:50.000030,M008,Milan_Motion,ON
42,2009-10-16 01:32:52.000045,M008,Milan_Motion,OFF
43,2009-10-16 01:37:37.000097,T002,Milan_Temp,20.5
44,2009-10-16 02:01:31.000044,M019,Milan_Motion,ON
45,2009-10-16 02:01:33.000060,M019,Milan_Motion,OFF
46,2009-10-16 02:01:39.000049,M019,Milan_Motion,ON
47,2009-10-16 02:01:41.000030,M019,Milan_Motion,OFF
48,2009-10-16 02:32:12.000052,M009,Milan_Motion,ON
49,2009-10-16 02:32:15.000010,M009,Milan_Motion,OFF
50,2009-10-16 02:32:16.000097,M016,Milan_Motion,ON
51,2009-10-16 02:32:18.000050,M015,Milan_Motion,ON
52,2009-10-16 02:32:22.000009,M016,Milan_Motion,OFF
53,2009-10-16 02:32:22.000018,M015,Milan_Motion,OFF
54,2009-10-16 02:32:22.000064,M022,Milan_Motion,ON
55,2009-10-16 02:32:24.000080,M022,Milan_Motion,OFF
56,2009-10-16 02:33:10.000091,M022,Milan_Motion,ON
57,2009-10-16 02:33:12.000010,M016,Milan_Motion,ON
58,2009-10-16 02:33:12.000093,M022,Milan_Motion,OFF
59,2009-10-16 02:33:17.000094,M016,Milan_Motion,OFF
60,2009-10-16 02:33:24.000063,M011,Milan_Motion,ON
61,2009-10-16 02:33:26.000079,M011,Milan_Motion,OFF
62,2009-10-16 02:48:00.000088,M011,Milan_Motion,ON
63,2009-10-16 02:48:04.000007,M011,Milan_Motion,OFF
64,2009-10-16 03:02:14.000072,M011,Milan_Motion,ON
65,2009-10-16 03:02:16.000054,M011,Milan_Motion,OFF
66,2009-10-16 03:02:16.000099,M011,Milan_Motion,ON
67,2009-10-16 03:02:20.000085,M009,Milan_Motion,ON
68,2009-10-16 03:02:20.000094,M011,Milan_Motion,OFF
69,2009-10-16 03:02:23.000043,M019,Milan_Motion,ON
70,2009-10-16 03:02:23.000088,M009,Milan_Motion,OFF
71,2009-10-16 03:02:27.000074,M019,Milan_Motion,OFF
72,2009-10-16 03:54:34.000064,M028,Milan_Motion,ON
73,2009-10-16 03:54:36.000050,M028,Milan_Motion,OFF
74,2009-10-16 03:54:43.000012,M021,Milan_Motion,ON
75,2009-10-16 03:54:46.000097,M021,Milan_Motion,OFF
76,2009-10-16 03:55:17.000035,M021,Milan_Motion,ON
77,2009-10-16 03:55:17.000044,M028,Milan_Motion,ON
78,2009-10-16 03:55:18.000056,M028,Milan_Motion,OFF
79,2009-10-16 03:55:27.000093,M021,Milan_Motion,OFF
80,2009-10-16 03:55:35.000071,M021,Milan_Motion,ON
81,2009-10-16 03:55:39.000064,M021,Milan_Motion,OFF
82,2009-10-16 03:55:43.000085,M021,Milan_Motion,ON
83,2009-10-16 03:55:46.000068,M021,Milan_Motion,OFF
84,2009-10-16 03:55:48.000049,M021,Milan_Motion,ON
85,2009-10-16 03:55:50.000029,M021,Milan_Motion,OFF
86,2009-10-16 03:55:53.000080,M021,Milan_Motion,ON
87,2009-10-16 03:55:58.000006,M021,Milan_Motion,OFF
88,2009-10-16 03:56:05.000085,M028,Milan_Motion,ON
89,2009-10-16 03:56:07.000039,M028,Milan_Motion,OFF
90,2009-10-16 03:56:08.000022,M020,Milan_Motion,ON
91,2009-10-16 03:56:09.000037,M028,Milan_Motion,ON
92,2009-10-16 03:56:11.000089,M028,Milan_Motion,OFF
93,2009-10-16 03:56:13.000002,M028,Milan_Motion,ON
94,2009-10-16 03:56:18.000024,M020,Milan_Motion,OFF
95,2009-10-16 03:56:20.000005,M028,Milan_Motion,OFF
96,2009-10-16 03:56:22.000019,M025,Milan_Motion,ON
97,2009-10-16 03:56:35.000079,M025,Milan_Motion,OFF
98,2009-10-16 03:56:38.000000,M013,Milan_Motion,ON
99,2009-10-16 03:56:50.000008,M013,Milan_Motion,OFF
100,2009-10-16 03:58:14.000016,M013,Milan_Motion,ON
101,2009-10-16 03:58:26.000021,M013,Milan_Motion,OFF
102,2009-10-16 03:58:28.000002,M025,Milan_Motion,ON
103,2009-10-16 03:58:36.000079,M025,Milan_Motion,OFF
104,2009-10-16 03:58:42.000014,M028,Milan_Motion,ON
105,2009-10-16 03:58:44.000068,M020,Milan_Motion,ON
106,2009-10-16 03:58:53.000000,M021,Milan_Motion,ON
107,2009-10-16 03:58:53.000009,M020,Milan_Motion,OFF
108,2009-10-16 03:58:53.000053,M020,Milan_Motion,ON
109,2009-10-16 03:58:53.000098,M028,Milan_Motion,OFF
110,2009-10-16 03:58:54.000077,M021,Milan_Motion,OFF
111,2009-10-16 03:58:55.000023,M021,Milan_Motion,ON
112,2009-10-16 03:58:55.000032,M028,Milan_Motion,ON
113,2009-10-16 03:58:56.000045,M020,Milan_Motion,OFF
114,2009-10-16 03:59:01.000032,M028,Milan_Motion,OFF
115,2009-10-16 03:59:15.000068,M021,Milan_Motion,OFF
116,2009-10-16 03:59:17.000017,M021,Milan_Motion,ON
117,2009-10-16 03:59:17.000062,M028,Milan_Motion,ON
118,2009-10-16 03:59:18.000042,M028,Milan_Motion,OFF
119,2009-10-16 03:59:22.000027,M021,Milan_Motion,OFF
120,2009-10-16 03:59:26.000048,M021,Milan_Motion,ON
121,2009-10-16 03:59:28.000097,M021,Milan_Motion,OFF
122,2009-10-16 03:59:31.000046,M021,Milan_Motion,ON
123,2009-10-16 03:59:38.000088,M021,Milan_Motion,OFF
124,2009-10-16 04:01:06.000062,M028,Milan_Motion,ON
125,2009-10-16 04:01:08.000085,M028,Milan_Motion,OFF
126,2009-10-16 04:38:36.000044,T002,Milan_Temp,20
127,2009-10-16 04:48:39.000016,T001,Milan_Temp,20
128,2009-10-16 05:48:13.000058,M020,Milan_Motion,ON
129,2009-10-16 05:48:23.000064,M020,Milan_Motion,OFF
130,2009-10-16 05:48:29.000053,M020,Milan_Motion,ON
131,2009-10-16 05:48:33.000074,M020,Milan_Motion,OFF
132,2009-10-16 05:48:53.000055,M020,Milan_Motion,ON
133,2009-10-16 05:48:57.000040,M020,Milan_Motion,OFF
134,2009-10-16 05:50:37.000046,M020,Milan_Motion,ON
135,2009-10-16 05:50:39.000034,M020,Milan_Motion,OFF
136,2009-10-16 05:51:25.000061,M020,Milan_Motion,ON
137,2009-10-16 05:51:30.000082,M020,Milan_Motion,OFF
138,2009-10-16 05:51:32.000096,M019,Milan_Motion,ON
139,2009-10-16 05:51:36.000081,M009,Milan_Motion,ON
140,2009-10-16 05:51:37.000060,M019,Milan_Motion,OFF
141,2009-10-16 05:51:38.000006,M009,Milan_Motion,OFF
142,2009-10-16 05:51:39.000092,M010,Milan_Motion,ON
143,2009-10-16 05:51:44.000058,M010,Milan_Motion,OFF
144,2009-10-16 05:52:04.000060,M003,Milan_Motion,ON
145,2009-10-16 05:52:08.000045,M012,Milan_Motion,ON
146,2009-10-16 05:52:09.000025,M003,Milan_Motion,OFF
147,2009-10-16 05:52:12.000086,M012,Milan_Motion,OFF
148,2009-10-16 05:53:02.000053,M022,Milan_Motion,ON
149,2009-10-16 05:53:02.000098,M012,Milan_Motion,ON
150,2009-10-16 05:53:04.000078,M022,Milan_Motion,OFF
151,2009-10-16 05:53:07.000061,M003,Milan_Motion,ON
152,2009-10-16 05:53:08.000040,M012,Milan_Motion,OFF
153,2009-10-16 05:53:13.000069,M003,Milan_Motion,OFF
154,2009-10-16 05:53:22.000017,M005,Milan_Motion,ON
155,2009-10-16 05:53:27.000045,M005,Milan_Motion,OFF
156,2009-10-16 05:53:27.000090,M005,Milan_Motion,ON
157,2009-10-16 05:53:36.000051,M005,Milan_Motion,OFF
158,2009-10-16 05:53:37.000030,M006,Milan_Motion,ON
159,2009-10-16 05:53:41.000050,M008,Milan_Motion,ON
160,2009-10-16 05:53:41.000095,M006,Milan_Motion,OFF
161,2009-10-16 05:53:43.000082,M008,Milan_Motion,OFF
162,2009-10-16 05:53:44.000031,M019,Milan_Motion,ON
163,2009-10-16 05:53:47.000058,M019,Milan_Motion,OFF
164,2009-10-16 05:53:49.000010,M020,Milan_Motion,ON
165,2009-10-16 05:53:52.000072,M020,Milan_Motion,OFF
166,2009-10-16 05:54:13.000035,M020,Milan_Motion,ON
167,2009-10-16 05:54:15.000023,M020,Milan_Motion,OFF
168,2009-10-16 05:54:24.000006,M020,Milan_Motion,ON
169,2009-10-16 05:54:28.000099,M020,Milan_Motion,OFF
170,2009-10-16 05:55:05.000046,M020,Milan_Motion,ON
171,2009-10-16 05:55:09.000064,M020,Milan_Motion,OFF
172,2009-10-16 06:00:51.000068,M020,Milan_Motion,ON
173,2009-10-16 06:00:58.000038,M020,Milan_Motion,OFF
174,2009-10-16 06:01:31.000054,M020,Milan_Motion,ON
175,2009-10-16 06:01:35.000086,M020,Milan_Motion,OFF
176,2009-10-16 06:02:23.000001,M020,Milan_Motion,ON
177,2009-10-16 06:02:24.000013,M020,Milan_Motion,OFF
178,2009-10-16 06:02:25.000027,M020,Milan_Motion,ON
179,2009-10-16 06:02:27.000047,M020,Milan_Motion,OFF
180,2009-10-16 06:02:46.000025,M020,Milan_Motion,ON
181,2009-10-16 06:02:47.000072,M020,Milan_Motion,OFF
182,2009-10-16 06:03:06.000079,M020,Milan_Motion,ON
183,2009-10-16 06:03:08.000066,M020,Milan_Motion,OFF
184,2009-10-16 06:03:19.000005,M020,Milan_Motion,ON
185,2009-10-16 06:03:21.000088,M020,Milan_Motion,OFF
186,2009-10-16 06:03:40.000063,M020,Milan_Motion,ON
187,2009-10-16 06:03:42.000083,M020,Milan_Motion,OFF
188,2009-10-16 06:03:47.000038,M020,Milan_Motion,ON
189,2009-10-16 06:03:49.000087,M020,Milan_Motion,OFF
190,2009-10-16 06:03:58.000049,M020,Milan_Motion,ON
191,2009-10-16 06:04:00.000035,M020,Milan_Motion,OFF
192,2009-10-16 06:04:05.000033,M020,Milan_Motion,ON
193,2009-10-16 06:04:07.000056,M020,Milan_Motion,OFF
194,2009-10-16 06:04:38.000062,M020,Milan_Motion,ON
195,2009-10-16 06:04:41.000019,M020,Milan_Motion,OFF
196,2009-10-16 06:04:47.000015,M020,Milan_Motion,ON
197,2009-10-16 06:04:51.000068,M020,Milan_Motion,OFF
198,2009-10-16 06:04:56.000090,M020,Milan_Motion,ON
199,2009-10-16 06:05:01.000081,M020,Milan_Motion,OFF
200,2009-10-16 06:05:21.000094,M020,Milan_Motion,ON
201,2009-10-16 06:05:29.000053,M020,Milan_Motion,OFF
202,2009-10-16 06:05:34.000050,M020,Milan_Motion,ON
203,2009-10-16 06:05:39.000015,M020,Milan_Motion,OFF
204,2009-10-16 06:05:44.000015,M020,Milan_Motion,ON
205,2009-10-16 06:05:52.000013,M020,Milan_Motion,OFF
206,2009-10-16 06:05:52.000057,M020,Milan_Motion,ON
207,2009-10-16 06:05:58.000080,M020,Milan_Motion,OFF
208,2009-10-16 06:07:07.000001,M020,Milan_Motion,ON
209,2009-10-16 06:07:12.000036,M020,Milan_Motion,OFF
210,2009-10-16 06:08:32.000016,M020,Milan_Motion,ON
211,2009-10-16 06:08:34.000031,M020,Milan_Motion,OFF
212,2009-10-16 06:08:41.000035,M020,Milan_Motion,ON
213,2009-10-16 06:08:44.000026,M020,Milan_Motion,OFF
214,2009-10-16 06:08:45.000080,M020,Milan_Motion,ON
215,2009-10-16 06:08:48.000003,M020,Milan_Motion,OFF
216,2009-10-16 06:08:50.000092,M020,Milan_Motion,ON
217,2009-10-16 06:08:53.000008,M020,Milan_Motion,OFF
218,2009-10-16 06:09:00.000034,M020,Milan_Motion,ON
219,2009-10-16 06:09:02.000014,M020,Milan_Motion,OFF
220,2009-10-16 06:09:31.000094,M020,Milan_Motion,ON
221,2009-10-16 06:09:33.000043,M020,Milan_Motion,OFF
222,2009-10-16 06:09:33.000052,M028,Milan_Motion,ON
223,2009-10-16 06:09:34.000064,M028,Milan_Motion,OFF
224,2009-10-16 06:10:28.000042,M020,Milan_Motion,ON
225,2009-10-16 06:10:30.000022,M020,Milan_Motion,OFF
226,2009-10-16 06:11:12.000089,M020,Milan_Motion,ON
227,2009-10-16 06:11:14.000077,M020,Milan_Motion,OFF
228,2009-10-16 06:11:41.000099,M020,Milan_Motion,ON
229,2009-10-16 06:11:49.000008,M020,Milan_Motion,OFF
230,2009-10-16 06:12:04.000031,M019,Milan_Motion,ON
231,2009-10-16 06:12:07.000013,M019,Milan_Motion,OFF
232,2009-10-16 06:12:13.000004,M008,Milan_Motion,ON
233,2009-10-16 06:12:14.000091,M008,Milan_Motion,OFF
234,2009-10-16 06:12:15.000040,M006,Milan_Motion,ON
235,2009-10-16 06:12:19.000001,M005,Milan_Motion,ON
236,2009-10-16 06:12:19.000050,M006,Milan_Motion,OFF
237,2009-10-16 06:12:26.000057,M005,Milan_Motion,OFF
238,2009-10-16 06:12:28.000006,M006,Milan_Motion,ON
239,2009-10-16 06:12:31.000093,M006,Milan_Motion,OFF
240,2009-10-16 06:12:32.000037,M008,Milan_Motion,ON
241,2009-10-16 06:12:33.000050,M019,Milan_Motion,ON
242,2009-10-16 06:12:34.000029,M008,Milan_Motion,OFF
243,2009-10-16 06:12:36.000077,M019,Milan_Motion,OFF
244,2009-10-16 06:12:52.000006,M019,Milan_Motion,ON
245,2009-10-16 06:12:54.000098,M009,Milan_Motion,ON
246,2009-10-16 06:12:55.000081,M019,Milan_Motion,OFF
247,2009-10-16 06:12:56.000096,M009,Milan_Motion,OFF
248,2009-10-16 06:12:57.000077,M010,Milan_Motion,ON
249,2009-10-16 06:13:02.000033,M010,Milan_Motion,OFF
250,2009-10-16 06:13:10.000026,M010,Milan_Motion,ON
251,2009-10-16 06:13:13.000077,M010,Milan_Motion,OFF
252,2009-10-16 06:14:58.000017,M010,Milan_Motion,ON
253,2009-10-16 06:15:00.000004,M010,Milan_Motion,OFF
254,2009-10-16 06:15:01.000020,M009,Milan_Motion,ON
255,2009-10-16 06:15:02.000069,M019,Milan_Motion,ON
256,2009-10-16 06:15:03.000049,M009,Milan_Motion,OFF
257,2009-10-16 06:15:06.000033,M019,Milan_Motion,OFF
258,2009-10-16 06:15:19.000078,M020,Milan_Motion,ON
259,2009-10-16 06:15:24.000010,M020,Milan_Motion,OFF
260,2009-10-16 06:15:24.000058,M020,Milan_Motion,ON
261,2009-10-16 06:15:27.000016,M020,Milan_Motion,OFF
262,2009-10-16 06:15:31.000045,M020,Milan_Motion,ON
263,2009-10-16 06:15:32.000095,M020,Milan_Motion,OFF
264,2009-10-16 06:15:38.000018,M020,Milan_Motion,ON
265,2009-10-16 06:15:44.000075,M020,Milan_Motion,OFF
266,2009-10-16 06:16:06.000060,M019,Milan_Motion,ON
267,2009-10-16 06:16:11.000013,M019,Milan_Motion,OFF
268,2009-10-16 06:16:33.000032,M008,Milan_Motion,ON
269,2009-10-16 06:16:36.000021,M008,Milan_Motion,OFF
270,2009-10-16 06:16:36.000030,M006,Milan_Motion,ON
271,2009-10-16 06:16:39.000081,M005,Milan_Motion,ON
272,2009-10-16 06:16:40.000026,M006,Milan_Motion,OFF
273,2009-10-16 06:16:44.000011,M005,Milan_Motion,OFF
274,2009-10-16 06:16:47.000062,M006,Milan_Motion,ON
275,2009-10-16 06:16:51.000087,M006,Milan_Motion,OFF
276,2009-10-16 06:17:12.000068,M006,Milan_Motion,ON
277,2009-10-16 06:17:17.000023,M006,Milan_Motion,OFF
278,2009-10-16 06:17:21.000009,M006,Milan_Motion,ON
279,2009-10-16 06:17:26.000009,M006,Milan_Motion,OFF
280,2009-10-16 06:17:30.000076,M006,Milan_Motion,ON
