,date,pm25,pm10,SO2,CO,Ozone,ID,Tag
0,2016-01-03,341.32,651.71,22.83,2.57,15.67,Anand_Vihar,Delhi_DPCC
1,2016-01-05,433.35,847.84,38.65,3.58,32.07,Anand_Vihar,Delhi_DPCC
2,2016-01-07,468.02,743.11,34.02,3.39,27.8,Anand_Vihar,Delhi_DPCC
3,2016-01-09,169.49,480.58,16.1,2.2,14.09,Anand_Vihar,Delhi_DPCC
4,2016-01-11,413.43,681.95,22.66,3.13,46.76,Anand_Vihar,Delhi_DPCC
5,2016-01-13,313.12,510.53,16.84,1.67,14.99,Anand_Vihar,Delhi_DPCC
6,2016-01-15,182.75,345.29,13.33,1.22,10.86,Anand_Vihar,Delhi_DPCC
7,2016-01-17,200.17,387.12,20.76,1.3,15.08,Anand_Vihar,Delhi_DPCC
8,2016-01-19,322.07,566.42,13.02,1.38,9.67,Anand_Vihar,Delhi_DPCC
9,2016-01-21,234.43,422.13,13.32,1.06,11.65,Anand_Vihar,Delhi_DPCC
10,2016-01-23,361.85,551.53,16.98,1.51,15.65,Anand_Vihar,Delhi_DPCC
11,2016-01-25,276.25,509.35,14.91,1.17,10.79,Anand_Vihar,Delhi_DPCC
12,2016-01-27,332.5,533.48,18.54,1.7,15.12,Anand_Vihar,Delhi_DPCC
13,2016-01-29,392.75,765.35,16.4,2.23,10.6,Anand_Vihar,Delhi_DPCC
14,2016-02-04,144.67,372.2,22.09,1.79,31.0,Anand_Vihar,Delhi_DPCC
15,2016-02-06,416.39,483.96,33.53,2.84,23.8,Anand_Vihar,Delhi_DPCC
16,2016-02-08,117.7,214.62,22.73,1.39,17.7,Anand_Vihar,Delhi_DPCC
17,2016-02-10,260.17,315.18,22.49,2.61,15.31,Anand_Vihar,Delhi_DPCC
18,2016-02-12,193.58,334.17,63.04,1.91,23.33,Anand_Vihar,Delhi_DPCC
19,2016-02-14,89.88,218.94,24.18,1.59,20.89,Anand_Vihar,Delhi_DPCC
20,2016-02-16,139.89,179.63,26.01,1.79,17.05,Anand_Vihar,Delhi_DPCC
21,2016-02-18,160.49,200.73,24.68,1.49,9.25,Anand_Vihar,Delhi_DPCC
22,2016-02-20,192.44,277.04,22.26,1.96,13.38,Anand_Vihar,Delhi_DPCC
23,2016-02-22,96.64,121.13,19.75,1.34,47.84,Anand_Vihar,Delhi_DPCC
24,2016-02-24,79.0,351.67,12.16,1.1,5.08,Anand_Vihar,Delhi_DPCC
25,2016-03-01,354.19,409.0,52.55,3.28,23.66,Anand_Vihar,Delhi_DPCC
26,2016-03-03,212.29,293.66,44.54,1.84,23.43,Anand_Vihar,Delhi_DPCC
27,2016-03-07,120.99,191.1,18.33,1.48,17.21,Anand_Vihar,Delhi_DPCC
28,2016-03-09,87.8,291.04,17.88,0.77,37.66,Anand_Vihar,Delhi_DPCC
29,2016-03-17,92.01,193.1,26.86,1.09,43.5,Anand_Vihar,Delhi_DPCC
30,2016-03-21,66.11,209.79,24.64,1.66,29.68,Anand_Vihar,Delhi_DPCC
31,2016-03-23,58.74,260.3,20.8,1.44,43.81,Anand_Vihar,Delhi_DPCC
32,2016-03-25,86.09,282.93,44.04,1.98,26.02,Anand_Vihar,Delhi_DPCC
33,2016-03-29,116.0,236.84,20.35,1.9,17.02,Anand_Vihar,Delhi_DPCC
34,2016-04-04,185.15,504.46,20.54,,19.14,Anand_Vihar,Delhi_DPCC
35,2016-04-06,73.53,227.25,,,37.23,Anand_Vihar,Delhi_DPCC
36,2016-04-08,107.12,225.77,80.25,1.97,23.36,Anand_Vihar,Delhi_DPCC
37,2016-04-10,179.78,172.33,39.87,2.9,22.85,Anand_Vihar,Delhi_DPCC
38,2016-04-12,55.28,299.65,18.04,1.05,23.76,Anand_Vihar,Delhi_DPCC
39,2016-04-14,116.47,304.19,25.27,1.98,24.42,Anand_Vihar,Delhi_DPCC
40,2016-04-18,121.37,342.39,23.45,1.22,10.86,Anand_Vihar,Delhi_DPCC
41,2016-04-20,131.44,432.05,34.1,1.0,17.77,Anand_Vihar,Delhi_DPCC
42,2016-04-24,39.13,292.67,10.52,0.53,120.77,Anand_Vihar,Delhi_DPCC
43,2016-04-26,212.23,526.9,50.65,1.6,54.93,Anand_Vihar,Delhi_DPCC
44,2016-04-28,263.81,580.17,45.84,2.2,46.48,Anand_Vihar,Delhi_DPCC
45,2016-05-04,96.97,428.26,23.51,2.15,13.68,Anand_Vihar,Delhi_DPCC
46,2016-05-06,64.67,302.13,19.07,1.73,16.54,Anand_Vihar,Delhi_DPCC
47,2016-05-08,95.79,356.1,16.52,0.65,22.84,Anand_Vihar,Delhi_DPCC
48,2016-05-10,76.78,330.21,8.57,1.12,21.31,Anand_Vihar,Delhi_DPCC
49,2016-05-12,115.28,491.02,7.04,1.64,27.71,Anand_Vihar,Delhi_DPCC
50,2016-05-14,140.07,498.35,12.4,2.07,39.6,Anand_Vihar,Delhi_DPCC
51,2016-05-16,120.1,522.51,19.89,0.88,23.56,Anand_Vihar,Delhi_DPCC
52,2016-05-18,120.38,521.83,18.84,2.22,60.39,Anand_Vihar,Delhi_DPCC
53,2016-05-20,68.28,299.42,5.26,0.83,23.23,Anand_Vihar,Delhi_DPCC
54,2016-05-30,98.41,284.26,7.18,1.16,34.63,Anand_Vihar,Delhi_DPCC
55,2016-06-01,121.56,601.38,9.69,1.22,42.02,Anand_Vihar,Delhi_DPCC
56,2016-06-03,246.9,570.93,15.03,1.86,74.84,Anand_Vihar,Delhi_DPCC
57,2016-06-05,100.78,276.32,6.72,0.69,27.1,Anand_Vihar,Delhi_DPCC
58,2016-06-07,97.51,284.59,10.45,1.11,28.73,Anand_Vihar,Delhi_DPCC
59,2016-06-09,77.07,297.76,9.89,1.05,26.56,Anand_Vihar,Delhi_DPCC
60,2016-06-11,98.74,512.21,13.91,1.33,27.27,Anand_Vihar,Delhi_DPCC
61,2016-06-13,115.32,588.28,10.05,0.9,18.03,Anand_Vihar,Delhi_DPCC
62,2016-06-15,110.91,513.0,11.05,0.72,15.42,Anand_Vihar,Delhi_DPCC
63,2016-06-17,62.18,202.82,17.34,0.96,29.08,Anand_Vihar,Delhi_DPCC
64,2016-06-19,58.83,162.6,13.4,0.88,6.8,Anand_Vihar,Delhi_DPCC
65,2016-06-21,44.48,94.65,18.58,0.84,9.53,Anand_Vihar,Delhi_DPCC
66,2016-06-23,72.27,210.1,9.95,1.27,19.71,Anand_Vihar,Delhi_DPCC
67,2016-06-25,81.73,227.13,8.71,0.98,14.72,Anand_Vihar,Delhi_DPCC
68,2016-06-27,64.22,166.18,8.76,1.12,14.57,Anand_Vihar,Delhi_DPCC
69,2016-06-29,37.35,95.01,12.57,1.29,16.26,Anand_Vihar,Delhi_DPCC
70,2016-07-01,56.7,214.34,8.8,1.46,12.2,Anand_Vihar,Delhi_DPCC
71,2016-07-03,67.03,143.27,12.03,1.21,32.9,Anand_Vihar,Delhi_DPCC
72,2016-07-05,89.24,371.31,12.92,1.74,22.93,Anand_Vihar,Delhi_DPCC
73,2016-07-07,34.55,119.86,21.69,1.21,14.21,Anand_Vihar,Delhi_DPCC
74,2016-07-09,41.35,143.87,9.0,1.33,13.87,Anand_Vihar,Delhi_DPCC
75,2016-07-11,45.44,99.29,9.03,1.25,10.81,Anand_Vihar,Delhi_DPCC
76,2016-07-13,86.38,139.86,8.63,2.25,28.44,Anand_Vihar,Delhi_DPCC
77,2016-07-15,38.35,381.35,8.73,2.28,13.84,Anand_Vihar,Delhi_DPCC
78,2016-07-17,42.56,60.98,9.59,2.0,13.11,Anand_Vihar,Delhi_DPCC
79,2016-07-19,61.15,435.07,8.84,1.46,21.57,Anand_Vihar,Delhi_DPCC
80,2016-07-21,90.74,635.33,9.35,1.34,22.92,Anand_Vihar,Delhi_DPCC
81,2016-07-23,40.1,105.41,8.99,1.4,17.9,Anand_Vihar,Delhi_DPCC
82,2016-07-25,97.6,287.49,7.29,1.64,28.43,Anand_Vihar,Delhi_DPCC
83,2016-07-27,42.78,66.23,14.44,1.45,26.24,Anand_Vihar,Delhi_DPCC
84,2016-07-29,59.89,90.2,8.75,2.04,39.19,Anand_Vihar,Delhi_DPCC
85,2016-07-31,45.94,79.99,13.0,1.42,42.66,Anand_Vihar,Delhi_DPCC
86,2016-08-02,48.73,73.19,11.96,1.68,,Anand_Vihar,Delhi_DPCC
87,2016-08-04,43.29,129.53,9.15,0.46,,Anand_Vihar,Delhi_DPCC
88,2016-08-06,44.64,117.02,9.42,1.81,,Anand_Vihar,Delhi_DPCC
89,2016-08-08,46.54,153.3,11.09,1.68,,Anand_Vihar,Delhi_DPCC
90,2016-08-10,35.27,64.46,9.95,1.41,,Anand_Vihar,Delhi_DPCC
91,2016-08-12,50.79,105.98,9.05,2.25,,Anand_Vihar,Delhi_DPCC
92,2016-08-14,54.73,139.16,16.99,1.11,,Anand_Vihar,Delhi_DPCC
93,2016-08-16,49.7,605.5,12.95,2.18,,Anand_Vihar,Delhi_DPCC
94,2016-08-18,54.33,263.22,8.1,2.04,51.05,Anand_Vihar,Delhi_DPCC
95,2016-08-20,35.65,142.24,9.04,1.61,23.72,Anand_Vihar,Delhi_DPCC
96,2016-08-22,25.3,156.44,7.56,1.59,24.73,Anand_Vihar,Delhi_DPCC
97,2016-08-24,27.49,177.06,6.8,1.05,26.98,Anand_Vihar,Delhi_DPCC
98,2016-08-26,57.78,151.86,4.76,0.84,26.71,Anand_Vihar,Delhi_DPCC
99,2016-08-28,48.58,270.81,,0.45,17.66,Anand_Vihar,Delhi_DPCC
100,2016-08-30,55.77,105.47,50.14,2.28,17.35,Anand_Vihar,Delhi_DPCC
101,2016-09-01,40.62,72.36,18.99,2.31,18.71,Anand_Vihar,Delhi_DPCC
102,2016-09-03,58.74,491.52,8.28,1.81,33.58,Anand_Vihar,Delhi_DPCC
103,2016-09-05,57.52,547.23,9.81,2.08,32.09,Anand_Vihar,Delhi_DPCC
104,2016-09-07,67.49,523.38,8.78,1.84,32.68,Anand_Vihar,Delhi_DPCC
105,2016-09-09,80.69,520.76,9.84,0.76,33.71,Anand_Vihar,Delhi_DPCC
106,2016-09-11,61.08,353.2,8.72,0.75,31.83,Anand_Vihar,Delhi_DPCC
107,2016-09-13,70.48,364.33,7.82,1.77,40.12,Anand_Vihar,Delhi_DPCC
